width,height,thickness,angle,type,
8,3.9,0.8,90,cover,
10.6,5.5,0.75,92.25,cover,
12.2,7.3,0.8,93,cover,
11.2,6.25,0.75,91.5,cover,
8.8,7.8,0.7,90,cover,
11.4,6.9,1,94,cover,
10.7,4.6,0.8,90,cover,
7.7,6,0.75,92,cover,
9.4,5.5,0.85,90,cover,
10.6,5.6,0.9,92.5,cover,
10.6,6.3,0.9,90,cover,
11.4,6.5,0.4,94,cover,
10,5.6,0.95,93,cover,
10.6,5.5,0.7,94,cover,
12.4,5.5,0.8,97.5,cover,
12,7.3,1,90,cover,
15,5.6,0.8,90,cover,
11,5.6,1.05,90,cover,
10.4,6,0.8,90,cover,
14.6,7,1.1,93,cover,
10.7,6.5,0.75,90,cover,
10,5.8,1,90,cover,
13.6,7,1,90,cover,
9.7,5,0.95,94,cover,
11.1,6.8,0.85,97.5,cover,
11.2,5.2,0.85,97.5,cover,
13.4,5.6,1.15,96,cover,
11,4.5,0.7,90,cover,
7,5.6,0.8,90,cover,
9,5.2,0.85,90,cover,
9,4.1,0.85,96,cover,
11,5.8,0.95,94,cover,
12,5.5,1,90,cover,
10.4,3.8,0.85,90,cover,
11,3.4,0.8,104,cover,
11,4.9,0.9,90,cover,
14,5.7,0.85,103,cover,
10,5,0.85,90,cover,
10.2,5.3,0.8,95,cover,
13,6.2,0.8,90,cover,
12,4.6,1.2,92.5,cover,
14.6,6,0.9,90,cover,
14,7.1,1.1,90,cover,
13.6,8,0.85,90,cover,
14,6,1.15,97.5,cover,
13,5.4,1,90,cover,
12,4.9,0.8,90,cover,
12,6.2,1.05,90,cover,
11,5.8,0.9,94,cover,
13.4,6.4,0.9,90,cover,
12,5.3,1,90,cover,
11,4.9,1,100,cover,
10.4,4.9,0.85,90,cover,
10.3,6.5,0.95,90,cover,
10.4,4.3,0.95,95,cover,
12.8,6.4,0.85,93,cover,
10.7,5.6,0.9,90,cover,
11.2,8.3,0.75,90,cover,
10,5.9,0.55,97,cover,
12.4,6.5,1.5,90,cover,
10.8,4,0.85,90,cover,
10.2,6.6,0.65,90,cover,
13.6,5.9,1,90,cover,
13.4,5.7,0.95,90,cover,
12,7,0.85,92,cover,
14,5.5,1.05,90,cover,
12.4,6,0.75,90,cover,
11.6,5.3,1,90,cover,
12.6,5.5,0.8,91,cover,
13,6,0.8,90,cover,
10.6,7.8,0.6,92,cover,
10.7,4.4,0.65,90.5,cover,
13,7.1,1,92,cover,
12.6,6.2,0.9,90,cover,
17.4,7.3,0.8,91,cover,
15,7.5,0.7,,cover,
9.7,7.5,0.8,93,cover,
10,4.2,0.85,90,cover,
11,6.4,0.75,90,cover,
11,5,0.8,94,cover,
13.6,7.4,0.9,90,cover,
12,5,0.8,96,cover,
14,7.2,1.15,,cover,
11,5.8,1.05,93,cover,
16.4,6.6,0.9,96,cover,
12.2,6.1,1.05,90,cover,
11.4,6.4,0.85,93,cover,
12,5.8,0.85,93,cover,
9.6,7,1.1,90,cover,
11,4.7,0.7,90,cover,
9,5.3,0.7,90,cover,
13,7.9,0.9,95,cover,
12.6,4.6,1,92,cover,
12.8,6.6,0.95,92,cover,
13,5.9,0.9,93,cover,
14,6.5,1,90,cover,
12.4,6.2,0.65,90,cover,
13.2,7.6,0.7,93,cover,
10,4.7,0.75,91,cover,
12,5.5,0.9,,cover,
11,3.45,0.8,,cover,
9.6,5.1,0.65,,cover,
12,4,0.95,,cover,
14,7.5,1,,cover,
14,4.5,1.3,,cover,
10,5,0.5,,cover,
9.2,3.65,0.85,,cover,
11.1,6.35,0.7,,cover,
11.8,5.6,0.85,,cover,
9.3,5.7,0.9,,cover,
8.6,6.15,0.7,,cover,
11,5.45,0.95,,cover,
9.8,5.65,0.9,,cover,
12.4,5.3,0.85,,cover,
13,5.5,0.7,,cover,
11.1,4.85,0.9,,cover,
8.6,8.4,0.8,,cover,
11.3,5.35,0.85,,cover,
8.9,4.65,0.85,,cover,
13.5,7.3,0.95,,cover,
10.4,7.05,0.8,,cover,
14,6.8,1.05,,cover,
13,5.75,0.9,,cover,
11,4.6,0.7,,cover,
12,5.8,0.9,,cover,
11,4.7,0.9,,cover,
14,4.7,0.55,,cover,
13,5.9,0.9,,cover,
11.6,5.2,0.9,,cover,
11,6.2,0.85,,cover,
12,5.05,0.85,,cover,
12,6.35,0.8,,cover,
9.6,4.8,0.55,,cover,
13.6,6.8,1.3,,cover,
10.6,6.6,0.85,,cover,
12,6.3,0.9,,cover,
13,5.8,0.85,,cover,
13.6,6.35,1,,cover,
8.4,3.5,0.8,,cover,
9,3.3,0.85,,cover,
11,3.7,0.9,,cover,
13,5.9,1.15,,cover,
13.8,6,1.1,,cover,
10,3.7,1,,cover,
11,5.35,0.95,,cover,
9.6,5.6,0.85,,cover,
9,4.5,0.65,,cover,
12,6.25,0.75,,cover,
9,5,0.45,,cover,
10,4.6,0.6,,cover,
12,6,0.75,,cover,
12,4.8,0.65,,cover,
11,3.9,0.65,,cover,
11,4.5,0.7,,cover,
10,5.4,0.9,,cover,
13,5.3,0.9,,cover,
10,4.1,0.9,,cover,
14,6.5,0.85,,cover,
10.4,5.3,0.9,,cover,
9,4.2,0.8,,cover,
11.4,4.35,0.65,,cover,
11,5.45,0.8,,cover,
12.2,6.5,0.6,,cover,
12.4,7.15,1,,cover,
9.2,5.6,0.95,,cover,
12,5.7,0.85,,cover,
9.4,5.4,0.95,,cover,
11,5.2,0.95,,cover,
9.2,3.3,0.65,,cover,
10,4.9,0.45,,cover,
12.6,6.3,0.95,,cover,
12.6,4.3,0.9,,cover,
13.4,7.5,0.7,,cover,
10,4.25,0.75,,cover,
10,4.4,0.8,,cover,
10,5.4,0.95,,cover,
10.6,6.05,0.75,,cover,
9.8,4.55,0.85,,cover,
14,6.4,0.8,,cover,
12.4,4.85,0.75,,cover,
11.6,5.6,0.7,,cover,
12,6.75,0.65,,cover,
11,4,0.75,,cover,
8.2,4.1,0.65,,cover,
14,5.7,0.85,,cover,
12.6,5.6,1.1,,cover,
10,5.25,1.2,,cover,
13.6,6.95,1.1,,cover,
10.4,4,0.75,,cover,
11.65,4,0.65,,cover,
13.6,3.7,0.9,,cover,
8.4,5.6,0.9,,cover,
13,4.6,1,,cover,
15.2,6.6,0.65,,cover,
12,5.95,1.05,,cover,
11.2,3.6,0.85,,cover,
11,4.85,0.95,,cover,
11.6,5.2,0.95,,cover,
11.4,4.3,0.8,,cover,
11,5.05,1.05,,cover,
10.4,5.6,1.1,,cover,
12,5.6,0.85,,cover,
13,4.25,0.65,,cover,
12.4,6.7,1.2,,cover,
13,6.8,0.85,,cover,
11,5.8,0.75,,cover,
10.8,3.4,0.7,,cover,
9,4.6,0.9,,cover,
11,5.5,0.95,,cover,
12.4,6.7,1.4,,cover,
14,7.05,1.05,,cover,
11.2,5.75,0.85,,cover,
10,4.4,1,,cover,
11.6,6.1,0.9,,cover,
10.4,5.6,1,,cover,
21,5.6,0.9,90,pan,
29,6.2,1,90,pan,
18,6,1.2,90,pan,
20,5.6,0.9,,pan,
22,4.6,1.1,90,pan,
26,6,0.9,90,pan,
29,6.2,1.1,90,pan,
26,5.7,1.1,90,pan,
23,5.9,0.9,96,pan,
21,5.5,1.2,90,pan,
22,6,1.2,90,pan,
18.4,5.6,1,90,pan,
18,5.2,0.9,90,pan,
20,5.2,1.05,90,pan,
17,5.3,1.1,90,pan,
22.7,5.5,1,90,pan,
26,6,1.45,92,pan,
23,6.1,0.9,90,pan,
24,6.1,1.2,92,pan,
28,6.3,1.2,92,pan,
25,6,1.1,90,pan,
23,4.8,1.25,93,pan,
23.6,5.5,1.4,92.5,pan,
26,7,0.9,90,pan,
22.6,6.5,1.45,90,pan,
17,6,1.25,90,pan,
23,4.4,1.3,93,pan,
23.25,5.45,1.1,,pan,
19,5.75,1.2,,pan,
23,6.15,1.25,,pan,
19,5,1.3,,pan,
22,6.75,1.05,,pan,
18,6.5,1.4,,pan,
19,4.4,1,,pan,
15,5.35,0.95,,pan,
18.4,4.45,1.1,,pan,
21.2,4.55,1.05,,pan,
19,6.2,1.1,,pan,
24,7.2,1.05,,pan,
,4.2,0.9,96,pan,
,3.5,0.7,90,pan,
,6,0.95,90,pan,
,5.4,1.35,90,pan,
,5,1.1,94,pan,
,3.5,0.85,90,pan,
,4.3,0.8,92,pan,
,5.2,0.7,90,pan,
,4.3,0.7,90,pan,
,3.5,0.9,90,pan,
,5.8,1.3,90,pan,
,5.2,0.8,90,pan,
,5,0.8,92.5,pan,
,3.3,1,90,pan,
,5.3,1.3,90,pan,
,4.2,1.1,90,pan,
,5,1,90,pan,
,5,0.7,95.5,pan,
,4.8,1.05,101,pan,
,6.7,1.15,96,pan,
,7.2,1.05,90,pan,
,5.3,1.1,100,pan,
,4.4,1.2,91.5,pan,
,6,1.35,93,pan,
,4.9,1.1,93,pan,
,2.6,1,96,pan,
,4.8,0.75,90,pan,
,5,1.8,94.5,pan,
,4.7,1.35,90,pan,
,5.2,1.4,96,pan,
,4.8,0.8,103,pan,
,3.3,1,90,pan,
,6.3,1.3,90,pan,
,7.5,1.2,90,pan,
,4.3,1.2,90,pan,
,3.9,0.85,90,pan,
,4.5,1.15,91.5,pan,
,7.9,0.95,90,pan,
,4.5,1,90,pan,
,5.6,0.95,94,pan,
,4,1.1,90,pan,
,5.2,1.4,90,pan,
,4.2,1,96.5,pan,
,5,1.35,93,pan,
,5.1,1,93,pan,
,3.6,1.5,93,pan,
,5,0.9,100,pan,
,4.3,1.2,93,pan,
,6.5,1.1,94,pan,
,6.5,0.85,93,pan,
,4.8,1,93,pan,
,4.9,,90,pan,
,6,1,90,pan,
,4.4,1.3,90,pan,
,6,1.15,90,pan,
,5.3,1.15,90,pan,
,4.3,1,90,pan,
,3.8,1.05,90,pan,
,4.6,1.4,90,pan,
,4.8,0.95,90,pan,
,4.1,1.35,90,pan,
,4.3,1.25,90,pan,
,4.3,1.2,90,pan,
,6.5,1.1,90,pan,
,5.1,1.3,90,pan,
,4.1,0.95,90,pan,
,4.6,1.1,91,pan,
,4.5,1.2,94,pan,
,6.1,1.4,93,pan,
,5.5,1.2,90,pan,
,6.7,1.2,92,pan,
,4.8,1,,pan,
,3.7,1.2,,pan,
,5.1,0.95,,pan,
,4.5,1.2,,pan,
,6.2,1.1,,pan,
,4.5,1.05,,pan,
,4.3,1.2,,pan,
,4.1,0.8,,pan,
,5,1.2,,pan,
,5.6,1,,pan,
,4.1,0.55,,pan,
,6.2,1.15,,pan,
,5.2,0.8,,pan,
,4.9,1,,pan,
,5.25,0.9,,pan,
,4.6,1.25,,pan,
,4.1,1,,pan,
,2.05,0.7,,pan,
,3.35,1.15,,pan,
,6.3,1.1,,pan,
,4.7,1,,pan,
,3.95,1,,pan,
,5.4,1.15,,pan,
,4.9,0.9,,pan,
,3.5,0.95,,pan,
,2.7,1,,pan,
,4.85,1.15,,pan,
,3.6,1.2,,pan,
,3.5,1.1,,pan,
,6.25,1.45,,pan,
,5.4,1.1,,pan,
,4.8,1,,pan,
,4,0.95,,pan,
,4.4,0.9,,pan,
,5,1.2,,pan,
,4.9,1.2,,pan,
,4.2,1,,pan,
,3.2,0.8,,pan,
,4.15,1,,pan,
,4,1,,pan,
,4.15,0.7,,pan,
,6.7,1.3,,pan,
,5.1,0.8,,pan,
,5.1,1.4,,pan,
,3.3,0.75,,pan,
,3.75,0.95,,pan,
,4.2,1,,pan,
,3.85,0.95,,pan,
,4.65,0.85,,pan,
,3.55,1.1,,pan,
,4,1.1,,pan,
,4,1.3,,pan,
,3.75,0.7,,pan,
,4.25,0.95,,pan,
,4.55,1.15,,pan,
,3.4,1.35,,pan,
,3,0.9,,pan,
,6,1.25,,pan,
,5.15,0.8,,pan,
,5.65,1.25,,pan,
,5.2,1.15,,pan,
,4.2,0.9,,pan,
,4.4,1.15,,pan,
,4.15,0.9,,pan,
,2.1,0.9,,pan,
,3.5,0.65,,pan,
,4.2,0.8,,pan,
,3.95,1,,pan,
,2.5,1.05,,pan,
,3.5,0.75,,pan,
,5.5,0.95,,pan,
,4.4,1,,pan,
,,1.2,90,pan,
,,1.1,90,pan,
,,1,90,pan,
,,0.75,92,pan,
,,1.1,93,pan,
,,1.05,95,pan,
,,1.1,90,pan,
,,1.1,90,pan,
,,0.7,92,pan,
,,0.75,90,pan,
,,1.6,94,pan,
,,1,97,pan,
,,0.95,93.5,pan,
,,1.4,90,pan,
,,1.2,96.5,pan,
,,1.1,94,pan,
,,0.95,98,pan,
,,1.1,90,pan,
,,1.1,94,pan,
,,1.5,90,pan,
,,1.1,90,pan,
,,1.1,90,pan,
,,1.1,91,pan,
,,1,91,pan,
,,1,94.5,pan,
,,0.9,90,pan,
,,1.1,92,pan,
,,0.95,90,pan,
,,1,90,pan,
,,1.05,92,pan,
,,0.9,90,pan,
,,1,96,pan,
,,1.5,90,pan,
,,1.2,96,pan,
,,0.9,92,pan,
,,1.2,96.5,pan,
,,0.75,90,pan,
,,0.95,95,pan,
,,1.25,94,pan,
,,1,90,pan,
,,0.85,100,pan,
,,1.15,90,pan,
,,1.25,90,pan,
,,1,90,pan,
,,1.5,95,pan,
,,0.8,94,pan,
,,1.1,94,pan,
,,1.1,93,pan,
,,1.6,91,pan,
,,1.8,90,pan,
,,1.2,93,pan,
,,0.8,90,pan,
,,0.85,90,pan,
,,0.8,90,pan,
,,1.1,90,pan,
,,0.9,90,pan,
,,1.4,90,pan,
,,1.1,90,pan,
,,1.1,90,pan,
,,1.1,90,pan,
,,1.3,90,pan,
,,1.4,95,pan,
,,1,94,pan,
,,1,90,pan,
,,1.3,91,pan,
,,1.2,92,pan,
,,1.1,96,pan,
,,1,90,pan,
,,1.3,90,pan,
,,1.3,93,pan,
,,0.95,92,pan,
,,0.7,93.5,pan,
,,1,90,pan,
,,1.05,94.5,pan,
,,1,95,pan,
,,0.9,92,pan,
,,0.7,90,pan,
,,1,90,pan,
,,0.9,93.5,pan,
,,1,90,pan,
,,0.95,94,pan,
,,1.1,94.5,pan,
,,1.4,97,pan,
,,1.65,100,pan,
,,1.2,90,pan,
,,1.45,94,pan,
,,1.1,94.5,pan,
,,0.9,90,pan,
,,1,93.5,pan,
,,1.05,91.5,pan,
,,1.15,90,pan,
,,1.4,90,pan,
,,1.3,90,pan,
,,0.85,90,pan,
,,0.9,90,pan,
,,0.9,90,pan,
,,0.7,90,pan,
,,1.25,98,pan,
,,1.35,90,pan,
,,0.8,92,pan,
,,0.8,96,pan,
,,1.15,96,pan,
,,0.8,90,pan,
,,1.35,94,pan,
,,1.1,92,pan,
,,1,90,pan,
,,1.1,90,pan,
,,1.2,90,pan,
,,1.3,90,pan,
,,0.9,90,pan,
,,1.2,90,pan,
,,1.3,92,pan,
,,0.9,91.5,pan,
,,1.4,90,pan,
,,0.95,94,pan,
,,1,90,pan,
,,1.1,93,pan,
,,1.2,90,pan,
,,0.9,102,pan,
,,1.15,99,pan,
,,0.9,90,pan,
,,0.8,93,pan,
,,1.1,91,pan,
,,1.15,90,pan,
,,0.85,,pan,
,,1.3,,pan,
,,0.9,,pan,
,,1.4,,pan,
,,1.2,,pan,
,,1.05,,pan,
,,1.1,,pan,
,,0.9,,pan,
,,0.9,,pan,
,,1.3,,pan,
,,1,,pan,
,,1.15,,pan,
,,1,,pan,
,,1,,pan,
,,1.4,,pan,
,,1.8,,pan,
,,1.2,,pan,
,,1.1,,pan,
,,0.95,,pan,
,,0.9,,pan,
,,0.8,,pan,
,,0.8,,pan,
,,0.95,,pan,
,,1.4,,pan,
,,1.15,,pan,
,,1.1,,pan,
,,0.8,,pan,
,,0.9,,pan,
,,0.9,,pan,
,,1.1,,pan,
,,0.9,,pan,
,,0.95,,pan,
,,1.15,,pan,
,,0.9,,pan,
,,1.25,,pan,
,,1,,pan,
,,1,,pan,
,,0.95,,pan,
,,0.9,,pan,
,,0.75,,pan,
,,1,,pan,
,,0.9,,pan,
,,0.95,,pan,
,,1,,pan,
,,1.4,,pan,
,,0.8,,pan,
,,1.25,,pan,
,,0.8,,pan,
,,1.15,,pan,
,,0.85,,pan,
,,0.9,,pan,
,,1.3,,pan,
,,1,,pan,
,,0.7,,pan,
,,0.75,,pan,
,,0.7,,pan,
,,0.85,,pan,
,,0.7,,pan,
,,0.7,,pan,
,,1.35,,pan,
,,1.1,,pan,
,,0.9,,pan,
,,1,,pan,
,,0.8,,pan,
,,0.75,,pan,
,,0.9,,pan,
,,1.3,,pan,
,,1,,pan,
,,1.3,,pan,
,,0.8,,pan,
,,0.85,,pan,
,,1.1,,pan,
,,1.1,,pan,
,,1.2,,pan,
,,1.2,,pan,
,,0.85,,pan,
,,1,,pan,
,,0.8,,pan,
,,0.85,,pan,
,,1,,pan,
,,0.95,,pan,
,,1,,pan,
,,1.4,,pan,
,,1.05,,pan,
,,1.2,,pan,
,,1.05,,pan,
,,0.75,,pan,
,,0.7,,pan,
,,0.9,,pan,
,,1,,pan,
,,1,,pan,
,,,,pan,
,,1.1,,pan,
,,0.9,,pan,
,,0.7,,pan,
,,0.75,,pan,
,,0.9,,pan,
,,,,pan,
,,1.1,,pan,
,,1.1,,pan,
,,0.8,,pan,
,,0.9,,pan,
,,0.8,,pan,
,,1.4,,pan,
,,0.8,,pan,
,,1,,pan,
,,,,pan,
,,0.9,,pan,
,,0.8,,pan,
,,0.9,,pan,
,,0.9,,pan,
,,0.85,,pan,
,,0.85,,pan,
,,0.95,,pan,
,,0.9,,pan,
,,0.85,,pan,
,,,,pan,
,,1.25,,pan,
,,0.7,,pan,
,,1.25,,pan,
,,1.15,,pan,
,,0.8,,pan,
,,1,,pan,
,,0.8,,pan,
,,1,,pan,
,,1.05,,pan,
,,0.6,,pan,
,,1,,pan,
,,1,,pan,
,,1.05,,pan,
,,0.85,,pan,
,,0.95,,pan,
,,0.75,,pan,
,,0.9,,pan,
,,1.4,,pan,
,,1.4,,pan,
,,0.95,,pan,
,,0.9,,pan,
,,0.9,,pan,
,,1,,pan,
,,1.1,,pan,
,,1.5,,pan,
,,0.8,,pan,
,,1.3,,pan,
,,1,,pan,
,,0.95,,pan,
,,0.95,,pan,
,,0.7,,pan,
,,1,,pan,
,,0.95,,pan,
,,1.1,,pan,
,,1.25,,pan,
,,0.65,,pan,
,,1.15,,pan,
,,1.25,,pan,
,,0.95,,pan,
,,0.8,,pan,
,,1.2,,pan,
,,1.5,,pan,
,,0.85,,pan,
,,1,,pan,
,,1,,pan,
,,0.7,,pan,
,,0.75,,pan,
,,0.8,,pan,
,,0.95,,pan,
,,1.05,,pan,
,,0.7,,pan,
,,0.95,,pan,
,,0.75,,pan,
,,0.8,,pan,
,,1.3,,pan,
,,0.45,,pan,
,,0.85,,pan,
,,0.95,,pan,
,,0.95,,pan,
,,0.55,,pan,
,,1.2,,pan,
,,0.8,,pan,
,,1.2,,pan,
,,1.4,,pan,
,,0.9,,pan,
,,0.85,,pan,
,,0.65,,pan,
,,1.3,,pan,
,,0.95,,pan,
,,0.8,,pan,
,,0.95,,pan,
,,1.1,,pan,
,,0.95,,pan,
,,1,,pan,
,,1.1,,pan,
,,0.95,,pan,
,,0.85,,pan,
,,1.05,,pan,
,,1.1,,pan,
,,1.4,,pan,
,,0.9,,pan,
,,0.75,,pan,
,,0.9,,pan,
,,1.3,,pan,
,,0.7,,pan,
,,0.8,,pan,
,,1.15,,pan,
,,1,,pan,
,,0.9,,pan,
,,0.85,,pan,
,,1.05,,pan,
,,1.1,,pan,
,,1,,pan,
,,1.2,,pan,
,,1.4,,pan,
,,0.8,,pan,
,,0.85,,pan,
,,0.8,,pan,
,,0.9,,pan,
,,0.8,,pan,
,,0.85,,pan,
,,1.05,,pan,
,,1,,pan,
,,1,,pan,
,,0.9,,pan,
,,0.85,,pan,
,,0.85,,pan,
,,0.95,,pan,
,,0.8,,pan,
,,0.85,,pan,
,,0.7,,pan,
,,1.1,,pan,
,,0.75,,pan,
,,0.8,,pan,
,,1,,pan,
,,1.15,,pan,
,,0.6,,pan,
,,0.9,,pan,
,,0.7,,pan,
,,0.95,,pan,
,,0.95,,pan,
,,1.35,,pan,
,,0.85,,pan,
,,0.9,,pan,
,,0.9,,pan,
,,1.2,,pan,
,,0.9,,pan,
,,1.2,,pan,
,,0.95,,pan,
,,0.95,,pan,
,,0.8,,pan,
,,1.2,,pan,
,,0.6,,pan,
,,0.85,,pan,
,,1,,pan,
,,0.85,,pan,
,,0.75,,pan,
,,1,,pan,
,,0.9,,pan,
,,0.8,,pan,
,,0.95,,pan,
,,1,,pan,
,,0.9,,pan,
,,1,,pan,
,,0.85,,pan,
,,0.85,,pan,
,,0.95,,pan,
,,0.9,,pan,
,,0.85,,pan,
,,0.8,,pan,